tmdb_id,tconst,primary_title,original_title,movie,runtime_minutes,genres,genre_ids,averagerating,numvotes,release_date_x,release_date_y,vote_average,vote_count,popularity,domestic_gross,production_budget,worldwide_gross
335777,tt3486626,The Nut Job 2: Nutty by Nature,The Nut Job 2: Nutty by Nature,The Nut Job 2: Nutty by Nature,91.0,"Adventure,Animation,Comedy","[10751, 16, 12, 35]",5.5,4820,2017-08-11,2017-08-11,5.7,227,8.975,28370522,40000000,57438389
271110,tt3498820,Captain America: Civil War,Captain America: Civil War,Captain America: Civil War,147.0,"Action,Adventure,Sci-Fi","[12, 28, 878]",7.8,583507,2016-05-06,2016-05-06,7.4,14000,39.137,408084349,250000000,1140069413
284053,tt3501632,Thor: Ragnarok,Thor: Ragnarok,Thor: Ragnarok,130.0,"Action,Adventure,Comedy","[28, 12, 35, 14]",7.9,482995,2017-11-03,2017-11-03,7.5,11380,43.45,315058289,180000000,846980024
253306,tt3504048,Housebound,Housebound,Housebound,107.0,"Comedy,Horror,Mystery","[27, 35, 53]",6.8,29757,2014-10-17,2014-10-17,6.6,505,8.455,0,1500000,236863
325173,tt3511596,Close Range,Close Range,Close Range,80.0,"Action,Crime","[28, 80]",5.0,3974,2015-12-11,2015-12-11,5.2,87,6.604,0,3000000,0
371638,tt3521126,The Disaster Artist,The Disaster Artist,The Disaster Artist,104.0,"Biography,Comedy,Drama","[35, 18]",7.4,111737,2017-12-01,2017-12-01,7.2,1895,13.27,21120616,10000000,28717667
94727,tt3521164,Moana,Moana,Moana,107.0,"Adventure,Animation,Comedy",[99],7.6,224253,2016-11-23,2015-11-13,6.5,16,1.96,248757044,150000000,637517365
278924,tt3522806,Mechanic: Resurrection,Mechanic: Resurrection,Mechanic: Resurrection,98.0,"Action,Adventure,Thriller","[28, 80, 53]",5.7,67275,2016-08-26,2016-08-26,5.6,1929,16.302,21218403,40000000,109738840
296100,tt3530002,The Night Before,The Night Before,The Night Before,101.0,"Adventure,Comedy,Fantasy",[35],6.4,58455,2015-11-20,2015-11-20,6.1,956,9.014,43035725,25000000,52427346
296100,tt6006924,The Night Before,The Night Before,The Night Before,81.0,Horror,[35],4.7,150,2015-11-20,2015-11-20,6.1,956,9.014,43035725,25000000,52427346
